"text","narrator","source","grade"
"عَن عائشةَ رضيَ اللَّهُ عَنها قالَت : كانَ رسولُ اللَّهِ صلَّى اللَّهُ عليهِ وسلَّمَ يستحِبُّ الجوامعَ منَ الدُّعاءِ ويدَعُ ما سِوى ذلِكَ.","عائشة أم المؤمنين","صحيح أبي داود","صحيح"
"سَألتُ رَسولَ اللهِ صلَّى الله عليه وسلَّم فقال: صَلُّوا علَيَّ واجتَهِدوا في الدُّعاءِ وقولوا: اللهُمَّ صَلِّ على مُحَمَّدٍ، وعَلى آلِ مُحَمَّدٍ.","زيد بن خارجة وقيل: ابن خارجة","سبل الهدى والرشاد","إسناده صحيح."
"قَرَأَ رسولُ اللهِ صلَّى اللهُ عليه وسلَّمَ: «{إِنَّ اللهَ كَانَ سَمِيعًا بَصِيرًا} [النساء: 58]»، فوَضَعَ إصْبَعَهُ الدَّعَّاءَ على عَيْنَيْهِ، وإبهامَيْهِ على أُذُنَيْهِ.","أبو هريرة","المستدرك على الصحيحين","صحيح، [وله شاهد على شرط مسلم]"
"كان إذا اجتهد لأحدٍ في الدُّعاءِ قال : جعل اللهُ عليكم صلاةَ قومٍ أبرارٍ ، يقومون اللَّيلَ و يصومون النَّهارَ ، ليسوا بأثَمَةٍ ولا فُجَّارٍ.","أنس بن مالك","السلسلة الصحيحة","إسناده صحيح على شرط مسلم"
"أفضلُ الدعاءِ دعاءُ يومِ عرفةَ ، و أفضلُ ما قلتُ أنا و النبيون من قبلي : لا إلهَ إلَّا اللهُ وحدَه لا شريكَ له.","طلحة بن عبيدالله","صحيح الجامع","حسن"
"لا يَقولَنَّ أحَدُكُم: اللهمَّ اغفِرْ لي إن شِئتَ، اللهمَّ ارحَمْني إن شِئتَ، ليَعزِمْ في الدُّعاءِ ؛ فإنَّ اللهَ صانِعٌ ما شاءَ، لا مُكرِهَ له.","أبو هريرة","صحيح مسلم","[صحيح]"
"كشفَ رَسولُ اللَّهِ صلَّى اللَّهُ عليهِ وسلَّمَ السِّتارةَ والنَّاسُ صفوفٌ خلفَ أبي بَكْرٍ، فقالَ: وأمَّا السُّجودُ فاجتَهِدوا في الدُّعاءِ فقَمِنٌ أن يُستَجابَ لَكُم.","عبدالله بن عباس","صحيح ابن خزيمة","أخرجه في صحيحه"
"عن عمرَ بنِ الخطَّابِ قال إنَّ الدُّعاءَ موقوفٌ بين السَّماءِ والأرضِ لا يصعدُ منه شيءٌ حتَّى تصلِّيَ على نبيِّك صلَّى اللهُ عليه وسلَّم.","سعيد بن المسيب","الترغيب والترهيب","[إسناده صحيح أو حسن أو ما قاربهما]"
"الدعاءُ بين الركنِ اليمانيِّ والحجَرِ الأسودِ قال صلَّى اللهُ عليه وسلم هناك : ربَّنا آتِنا في الدنيا حسنةً وفي الآخرةِ حسنةً وقِنا عذابَ النارِ.","-","سفر السعادة","إسناده صحيح"
"عن عمرَ بنِ الخطابِ قال : إن الدعاءَ موقوفٌ بينَ السماءِ والأرضِ، لا يَصْعَدُ منه شيءٌ حتى تُصَلِّيَ على نبيِّك صلى الله عليه وسلم.","سعيد بن المسيب","صحيح الترمذي","حسن"
"كانَ رَسولُ اللهِ صلَّى اللهُ عليه وسلَّم يَدعو بهذا الدُّعاءِ : اللهمَّ رَبَّنا لك الحَمدُ، مِلءَ السَّمَواتِ، ومِلءَ الأرضِ، ومِلءَ ما شِئتَ مِن شيءٍ بَعدُ.","عبدالله بن أبي أوفى","صحيح مسلم","[صحيح]"
"كان النبيُّ صلَّى اللهُ عليْهِ وسلَّمَ إذا اجتهدَ في الدعاءِ ، قال : جعلَ اللهُ عليكُمْ صلاةَ قومٍ أبرارٍ ، يقومونَ ، ويصومونَ النهارَ ، وليسوا بأئمةٍ ولا فُجارٍ.","أنس بن مالك","علل الأحاديث","رفعه خطأ والصحيح موقوفا"
"كان رسولُ اللهِ صلَّى اللهُ عليه وسلَّم لا يرفَعُ يدَيهِ في شيءٍ مِن الدُّعاءِ إلَّا في الاستسقاءِ فإنَّه كان يرفَعُ يدَيهِ حتَّى يُرى بياضُ إِبْطَيْهِ.","أنس بن مالك","صحيح ابن حبان","أخرجه في صحيحه"
"عنِ ابنِ عبَّاسٍ رَضيَ اللهُ عنهُما: أَفضلُ العبادةِ الدُّعاءُ . وقَرأَ: {وَقَالَ رَبُّكُمُ ادْعُونِي أَسْتَجِبْ لَكُمْ إِنَّ الَّذِينَ يَسْتَكْبِرُونَ عَنْ عِبَادَتِي سَيَدْخُلُونَ جَهَنَّمَ دَاخِرِينَ} [غافر: 60].","مجاهد","المستدرك على الصحيحين","إسناده صحيح"
"عن أنسٍ رضيَ اللهُ عنه أنَّه كان لا يدعو بدعاءٍ إلا ختمَه بهذا الدعاءِ رَبَّنَا آتِنَا فِي الدُّنْيَا حَسَنَةً وَفِي الْآخِرَةِ حَسَنَةً وَقِنَا عَذَابَ النَّارِ.","-","شرح الزركشي على الخرقي","صحيح"
"كان رسولُ اللهِ صلَّى اللهُ عليه وسلَّمَ يَرفَعُ يدَيْه في الدعاءِ حتى أَرَى بياضَ إبْطَيْه، قال أبي -وهو أبو المُعتَمِرِ-: لا أَظُنُّه إلَّا في الاستِسْقاءِ.","أبو هريرة","تخريج المسند لشعيب","إسناده صحيح"
"عن النَّبيِّ صلَّى اللهُ عليه وسلَّمَ في قولِه : وَقَالَ رَبُّكُمُ ادْعُونِي أَسْتَجِبْ لَكُمْ وقال : الدعاءُ هو العبادةُ وقرأ وَقَالَ رَبُّكُمُ ادْعُونِي أَسْتَجِبْ لَكُمْ إلى قولِه دَاخِرِينَ.","النعمان بن بشير","سنن الترمذي","حسن صحيح"
"كان النبيُّ صلَّى اللهُ عليه وسلَّم إذا اجتَهَد لأحدٍ في الدعاءِ ، قال : جعَل اللهُ عليكم صلاةَ قومٍ أبرارٍ ، ليسوا بأثمةٍ ، ولا فجارٍ ، يقومونَ الليلَ ، ويصومونَ النهارَ.","أنس بن مالك","إتحاف الخيرة المهرة","إسناده صحيح على شرط مسلم"
"أنَّ رسولَ اللهِ صلَّى اللهُ عليه وسلَّمَ كان لا يَرفَعُ يَدَيه في شيءٍ منَ الدُّعاءِ ، إلَّا عندَ الاستِسقاءِ؛ فإنَّه كان يَرفَعُ يَدَيه حتى يُرى بَياضُ إبْطَيه.","أنس","تخريج سنن الدارقطني","صحيح"
"كانَ لداودَ نبيِّ اللهِ عليه السَّلامُ ساعةٌ يُوقِظُ فيها أهلَه يقولُ يا آلَ داودَ قوموا فصلُّوا فإنَّ هذه السَّاعةَ يستجيبُ اللهُ فيها الدُّعاءَ إلَّا لساحرٍ أو عاشِرٍ.","عثمان بن أبي العاص الثقفي","الترغيب والترهيب","[فيه] علي بن يزيد وبقية رواته محتج بهم في الصحيح واختلف في سماع الحسن من عثمان"
"رأيتُ رسولَ اللهِ صلى الله عليه وسلم حين اسَتَسْقَى لنا أطالَ الدعاءَ ، وأكثرَ المسألةَ، قال: ثم تَحَوَّلَ إلى القِبْلَةِ، وحَوَّلَ رداءَه فقَلَبَه ظهرًا لبطنٍ، وتحوَّلَ الناسُ معه.","عبدالله بن زيد","نيل الأوطار","أصله في الصحيحين"
"خرجَ رسولُ اللَّهِ متبذِّلاً متواضعًا متضرِّعًا فجلسَ على المنبرِ فلم يخطب خطبتَكم هذِهِ ولَكن لم يزل فى الدُّعاءِ والتَّضرُّعِ والتَّكبيرِ وصلَّى رَكعتينِ كما كانَ يصلِّي في العيدين.","عبدالله بن عباس","صحيح النسائي","حسن"
"لا يَزَالُ يُسْتَجَابُ للعبدِ ما لم يَدْعُ بإثمٍ أو قَطِيعةِ رَحِمٍ ، ما لم يَسْتَعْجِلْ ، يقولُ : قد دَعَوْتُ وقد دَعَوْتُ فلم يُسْتَجَبْ لي ، فيَسْتَحْسِرُ عند ذلك ، ويَدَعُ الدعاءَ.","أبو هريرة","صحيح الجامع","صحيح"
"كانَ النَّبيُّ صلَّى اللَّه عليهِ وعلَى آلِهِ وسلَّمَ إذا اجتَهَدَ لأحدٍ في الدُّعاءِ قالَ : جعلَ اللَّهُ صلاةَ قومٍ أبرارٍ ، يقومونَ اللَّيلَ ، ويصومونَ النَّهارَ ، ليسوا بأثَمةٍ ولا فجَّارٍ.","أنس بن مالك","الصحيح المسند","صحيح"
"كان رسولُ اللهِ صلَّى اللهُ عليه وسلَّم إذا اجتهد في الدُّعاءِ لأحدٍ قال: «جعَلَ اللهُ عليكم صلاةَ قَومٍ أبرارٍ ليسوا بأثَمةٍ ولا فجَّارٍ، يقومون اللَّيلَ ويصومون النَّهارَ».","أنس بن مالك","سبل الهدى والرشاد","إسناده صحيح."
"عن عُمرَ بنِ الخطَّابِ ، رضي اللهُ عنه ، قال : ذُكِر لي أنَّ الدعاءَ يكونُ بين السماءِ والأرضِ لا يصعَدُ منه شيءٌ حتى يصلَّى على النبيِّ صلَّى اللهُ عليه وسلَّم.","سعيد بن المسيب","إتحاف الخيرة المهرة","إسناده موقوف رجاله رجال الصحيح"
"حديثُ الدعاءِ الذي علَّمهُ صلَّى اللهُ عليه وآلهِ وسلم أبا بكرٍ وقد سألهُ أن يعلِّمهُ دعاءً يدعو به في صلاتهِ ، فقال : قلْ : اللهمَّ إنِّي ظلمتُ نفسي ظلمًا كثيرًا.","أبو بكر الصديق","الإنصاف في حقيقة الأولياء","صحيح"
"قد رَأيتُ رسولَ اللهِ صَلَّى اللهُ عليه وسلَّمَ حين استَسقى لنا، أطالَ الدُّعاءَ ، وأكثَرَ المَسألةَ، قال: ثم تحَوَّلَ إلى القِبلةِ، وحوَّلَ رِداءَهُ فقلَبَهُ ظَهرًا لبَطنٍ، وتحَوَّلَ النَّاسُ معه.","عبدالله بن زيد المازني الأنصاري","تخريج المسند لشعيب","صحيح دون قوله: وتحول الناس معه فهو حسن"
"كان لداودَ نبيِّ اللهِ صلواتُ اللهِ وسلامُه عليه ساعةٌ يُوقِظُ فيها أهلَه يقولُ : يا آلَ داودَ قوموا فصلُّوا فإنَّ هذه السَّاعةَ يستجيبُ اللهُ فيها الدُّعاءَ إلَّا لساحرٍ أو عاشرٍ.","عثمان بن أبي العاص الثقفي","الترغيب والترهيب","[فيه] علي بن زيد ، وبقية رواته محتج بهم في الصحيح ، واختلف في سماع الحسن من عثمان"
"قال كعبٌ أنَّ داودَ النَّبيَّ كانَ إذا انصرفَ مِنَ الصَّلاةِ قالَ لا مانعَ لما أعطَيتَ ولا معطيَ لما منَعتَ قالَ كعبٌ : وأخبرني صُهيبٌ أنَّ النَّبيَّ كانَ ينصرِفُ بِهذا الدُّعاءِ.","صهيب بن سنان الرومي","تخريج كتاب السنة","صحيح"
"إنَّ أوفَقَ الدُّعاءِ أنْ يَقولَ الرَّجُلُ: اللَّهمَّ أنتَ رَبِّي، وأنا عَبدُكَ، ظلَمتُ نَفْسي واعتَرَفتُ بذَنبي، يا رَبِّ، فاغفِرْ لي ذَنبي، إنَّكَ أنتَ رَبِّي، إنَّه لا يَغفِرُ الذُّنوبَ إلَّا أنتَ.","أبو هريرة","تخريج المسند لشعيب","إسناده صحيح"
"سمِعْتُ رسولَ اللهِ صلَّى اللهُ عليه وسلَّمَ يقولُ على المِنْبَرِ: إنَّ الدعاءَ هو العبادةُ، ثُمَّ قرَأَ: {ادْعُونِي أَسْتَجِبْ لَكُمْ إِنَّ الَّذِينَ يَسْتَكْبِرُونَ عَنْ عِبَادَتِي سَيَدْخُلُونَ جَهَنَّمَ دَاخِرِينَ} [غافر: 60].","النعمان بن بشير","تخريج شرح السنة","إسناده صحيح"
"كان رسولُ اللهِ صلَّى اللهُ عليه وسلَّم يدعو بهذا الدُّعاءِ ( اللَّهمَّ آتِنا في الدُّنيا حَسنةً وفي الآخرةِ حَسنةً وقِنا عذابَ النَّارِ ) قال شُعبةُ : فذكَرْتُه لِقتادةَ فقال : كان أنَسٌ يدعو به.","أنس بن مالك","صحيح ابن حبان","أخرجه في صحيحه"
"أنَّ رسولَ اللهِ صلَّى اللهُ عليه وسلَّمَ قالَ لهم: أَتُحبُّونَ أيُّها النَّاسُ أنْ تَجتهِدوا في الدُّعاءِ ؟ قالوا: نَعَمْ يا رسولَ اللهِ، قالَ: قولوا: اللَّهُمَّ أَعِنَّا على ذِكرِكَ وشُكرِكَ وحُسنِ عِبادتِكَ.","أبو هريرة","المستدرك على الصحيحين","صحيح"
"أنَّ رسولَ اللهِ صلَّى اللهُ عليهِ وسلَّمَ قال لهم : أتحبُّون أيُّها النَّاسُ أن تَجتهدوا في الدُّعاءِ ؟ قالوا : نعَم يا رسولَ اللهِ . قال : قولوا : اللَّهمَّ أعنَّا علَى ذِكرِك وشُكرِك وحسنِ عبادتِكَ.","أبو هريرة","إتحاف المهرة","[ليس بصحيح]"
"إنَّ الدُّعاءَ هو العِبادةُ، ثُمَّ قَرَأَ: {وَقَالَ رَبُّكُمُ ادْعُونِي أَسْتَجِبْ لَكُمْ إِنَّ الَّذِينَ يَسْتَكْبِرُونَ عَنْ عِبَادَتِي سَيَدْخُلُونَ جَهَنَّمَ دَاخِرِينَ} [غافر: 60]. قال أبو عبدِ الرَّحمنِ: يُسَيعٌ الكِنْديُّ يُسَيعٌ بنُ مَعدانِ.","النعمان بن بشير","تخريج المسند لشعيب","إسناده صحيح"
"لَم يَكُنْ رَسولُ اللهِ صلَّى اللهُ عليه وسلَّم يَرفَعُ يَدَيه في شَيءٍ مِن دُعائِه -وقال يَحيى مَرَّةً: مِنَ الدُّعاءِ - إلَّا في الاستِسقاءِ؛ فإنَّه كان يَرفَعُ يَدَيه حَتَّى يُرى بَياضُ إبْطَيه.","أنس بن مالك","تخريج المسند لشعيب","إسناده صحيح على شرط الشيخين"
"كان أصحابُ النَّبيِّ صلَّى اللَّهُ عليهِ وآلِهِ وسلَّمَ يَتعلَّمونَ الدُّعاءَ كمَا يتعلَّمونَ القُرْآنَ إذا دخل الشَّهرُ أوِ السَّنةُ : اللَّهُمَّ أدْخِلْهُ علينا بالأمْنِ والإيمَانِ والسَّلامَةِ والإسْلامِ وجِوارٍ منَ الشَّيطَانِ ورِضْوانٍ مَنَ الرَّحمَنِ.","عبدالله بن هشام","الإصابة في تمييز الصحابة","موقوف على شرط الصحيح"
"لا يزالُ يُستجابُ للعبدِ ما لَمْ يَدْعُ بإثمٍ أو قطيعةِ رحِمٍ ما لَمْ يستعجِلْ ) قيل : يا رسولَ اللهِ كيفَ يستعجِلُ ؟ قال : ( يقولُ قد دعَوْتُ فلَمْ يُستجَبْ لي فينحسِرُ عندَ ذلكَ فيترُكُ الدُّعاءَ.","أبو هريرة","صحيح ابن حبان","أخرجه في صحيحه"
"«إنَّهم ليَعْلمونَ الآنَ أنَّ الَّذي كنتُ أقولُ لهم في الدُّنيا حقٌّ». وقالَ اللهُ تَعالَى لنَبيِّهِ صلَّى اللهُ عليه وسلَّمَ: {إِنَّكَ لَا تُسْمِعُ الْمَوْتَى وَلَا تُسْمِعُ الصُّمَّ الدُّعَاءَ إِذَا وَلَّوْا مُدْبِرِينَ} [النمل: 80].","عائشة","المستدرك على الصحيحين","صحيح على شرط الشيخين"
"إن رسولَ اللهِ صلى الله عليه وسلم، خرج متبذِّلاً متواضعًا متضرِّعًا، حتى أتى المصلَّى، فلم يخطُب، خطبتَكم هذه، ولكن لم يزل في الدعاءِ والتضرعِ والتكبيرِ، وصلى ركعتين كما كان يصلي في العيدِ.","عبدالله بن عباس","صحيح الترمذي","حسن"
"خرجَ رسولُ اللَّهِ صلَّى اللَّهُ عليهِ وسلَّمَ للاستسقاء مُتبذِّلًا مُتواضعًا متخشِّعًا مُتضرِّعًا ، حتَّى أتى المصلَّى ، فلم يخطُب كخُطبتَكُم هذِهِ ، ولَكِن لم يزَلْ في الدُّعاءِ والتَّضرُّعِ والتَّكبيرِ ، وصلَّى رَكْعتينِ كما كانَ يصلِّي في العيدِ.","عبدالله بن عباس","الكافي لابن قدامة","صحيح"
"سمعتُ عبدَ اللهِ يعني ابنَ مسعودٍ يدعو بهذا الدعاءِ اللهمَّ إني أسألُك بنعمتِك السابغةِ التي أنعمتَ بها وبلائِك الذي ابتليتَني وبفضلِك الذي أفضلتَ علَيَّ أن تدخلَني الجنةَ اللهمَّ أدخلْني الجنةَ بفضلِك ومَنِّك ورحمتِك.","عوف بن مالك بن نضلة أبو الأحوص","مجمع الزوائد","رجاله رجال الصحيح"
"صلُّوا عليَّ واجتهدُوا في الدعاءِ و قولُوا : اللهمَّ صلِّ على محمدٍ، و على آلِ محمدٍ و باركْ على محمدٍ و على آلِ محمدٍ كما باركتَ على ابراهيمِ و آل ابراهيمِ، إنكَّ حميدٌ مجيدٌ.","زيد بن خارجة","الجامع الصغير","صحيح"
"إنَّ رسولَ اللهِ صلَّى اللهُ عليه وسلَّمَ ، خرجَ مُتَبَذِّلًا مُتواضِعًا مُتضرِّعًا ، حتى أتَى المُصَلَّى ، فلمِ يَخْطُبْ ، خُطبتَكمْ هذه ، ولكنْ لم يَزلْ في الدعاءِ والتَضَرُّعِ والتكبِيرِ ، وصلَّى ركعتيْنِ كمَا كان يُصلِّي في العيدِ [ يعني الاسْتِسْقاءَ ].","عبدالله بن عباس","سنن الترمذي","حسن صحيح"
"( لا يزالُ يُستجابُ للعبدِ ما لَمْ يَدْعُ بإثمٍ أو قطيعةِ رحِمٍ ما لَمْ يستعجِلْ ) قيل : يا رسولَ اللهِ ما الاستعجالُ ؟ قال : ( يقولُ : يا ربِّ قد دعَوْتُ وقد دعَوْتُ فما أراكَ تستجيبُ لي فيدَعُ الدُّعاءَ ).","أبو هريرة","صحيح ابن حبان","أخرجه في صحيحه"
"عن أبي أُمامةَ سهلِ بنِ حُنَيفٍ قال السُّنَّةُ في الصَّلاةِ أن يُكبِّرَ ثمَّ يقرأُ بأمِّ القرآنِ ثمَّ يُصلِّي على النَّبيِّ صلَّى اللهُ عليه وآلِه وسلَّم ثمَّ يُخلِصُ الدُّعاءَ للميِّتِ ولا يقرأُ إلَّا في الأُولَى.","سهل بن حنيف","العدة على الإحكام","إسناده صحيح"
"صلُّوا عليَّ و اجْتَهِدُوا في الدعاءِ و قولوا : اللهمَّ صَلِّ على محمدٍ ، و على آلِ محمدٍ و بارِكْ على محمدٍ و على آلِ محمدٍ كما بارَكْتَ على إبراهيمَ و آلِ إبراهيمَ ، إِنَّكَ حَمِيدٌ مَجِيدٌ.","زيد بن خارجة","صحيح الجامع","صحيح"
"لا يَزالُ يُستَجابُ للعَبدِ ما لم يَدعُ بإثمٍ أو قَطيعةِ رَحِمٍ ما لم يَستَعجِلْ، قيلَ: يا رَسولَ اللهِ، ما الاستِعجالُ؟ قال: يقولُ: قد دَعَوتُ وقد دَعَوتُ، فلم أرَ يَستَجيبُ لي، فيَستَحسِرُ عِندَ ذلك ويَدَعُ الدُّعاءَ.","أبو هريرة","صحيح مسلم","[صحيح]"
"أنَّ عبدَ اللهِ بنَ مُغفَّلٍ، سَمِعَ ابنَهُ يقولُ: اللَّهُمَّ إنِّي أَسألُكَ القَصْرَ الأبيضَ عنِ يمينِ الجنَّةِ، قالَ: إنِّي سَمِعْتُ رسولَ اللهِ صلَّى اللهُ عليه وسلَّمَ يقولُ: يكونُ في هذه الأُمَّةِ قومٌ يَعتَدونَ في الدُّعاءِ والطُّهورِ.","عبدالله بن مغفل","المستدرك على الصحيحين","صحيح الإسناد"
"الدعاءُ يَرُدُّ البلاءَ [يعني حديث: بِرُّ الوالدينِ يَزيدُ في العُمُرِ، والكَذِبُ يُنقِصُ مِنَ الرِّزقِ، والدعاءُ يَرُدُّ البلاءَ، ولِلَّهِ في خَلقِه قضاءان، فقضاءٌ نافِذٌ، وقضاءٌ يُنْتَظَرُ، ولِلْأنبياءِ على العلماءِ فضلُ دَرَجَتينِ، وللعلماءِ على الشهداءِ فضلُ دَرَجَةٍ].","[أبو هريرة]","مختصر المقاصد","صحيح"
"عن سعيدِ بنِ المُسيِّبِ أنه قال: السُّنَّةُ في الصلاةِ على الجِنازةِ أنْ يقرأَ بفاتحةِ الكتابِ ويصلَّى على النبيِّ - صلَّى اللهُ عليهِ وسلَّمَ - ثم يخلصُ الدعاءَ للميتِ حتى يفرغَ ولا يقرأُ إلا مرةً واحدةً، ثم يسلمُ.","سعيد بن المسيب","فتح الغفار","رجاله مخرج لهم في الصحيحين"
"السُّنَّةُ في الصلاةِ على الجنازةِ أن تُكَبِّرَ ثم تقرأَ بأمِّ القرآنِ ثم تُصلِّيَ على النبيِّ صلَّى اللهُ عليهِ وسلَّمَ ثم تُخلِصَ الدعاءَ للميتِ ولا تقرأَ إلا في التكبيرةِ الأُولَى ثم تُسلِّمَ في نفسِكَ عن يمينِك.","أبو أمامة بن سهل بن حنيف","إرواء الغليل","سند صحيح رجاله رجال الشيخين وإن كان صورته صورة المرسل فقد بينت الرواية الأولى أن أبا أمامة تلقاه عن رجل من أصحاب النبي صلى الله عليه وسلم"
"السُّنةُ في الصَّلاةِ على الجَنائزِ: أنْ يُكبِّرَ، ثم يَقرَأَ بأُمِّ القرآنِ، ثم يُصلِّيَ على النبيِّ صلَّى اللهُ عليه وسلَّمَ، ثم يُخلِصَ الدُّعاءَ للميِّتِ، ولا يَقرَأَ إلَّا في التكْبيرةِ الأُولى، ثم يُسلِّمَ في نَفْسِه عن يَمينِه.","أبو أمامة بن سهل بن حنيف","تخريج زاد المعاد","إسناده صحيح"
"عن أبي أُمامَةَ بنِ سهلِ بنِ حُنَيفٍ قال السنَّةُ في الصَّلاةِ على الجنازَةِ أن يُكبِّرَ ثمَّ يقرَأُ بأُمِّ القُرآنِ ثمَّ يصلِّي على النَّبيِّ صلَّى اللَّهُ عليهِ وسلَّمَ ثمَّ يُخلِصُ الدُّعاءَ للمَيِّتِ ولا يقرأُ إلا في الأولى.","أبو أمامة بن سهل بن حنيف","فتح الباري لابن حجر","إسناده صحيح"
"عَن أبي الزُّبَيْرِ قالَ : كانَ عبدُ اللَّهِ بنُ الزُّبَيْرِ يُهَلِّلُ في دُبُرِ كلِّ صلاةٍ فذَكَرَ نحوَ هذا الدُّعاءِ زادَ فيهِ ولا حولَ ولا قوَّةَ إلَّا باللَّهِ لا إلَهَ إلَّا اللَّهُ لا نعبدُ إلَّا إيَّاهُ لَهُ النِّعمةُ.","محمد بن مسلم المكي أبو الزبير","صحيح أبي داود","صحيح"
"سَمِعتُ عِمارةَ بنَ رُوَيبةَ وبِشْرُ بنُ مَرْوانَ يَخطُبُ، فرَفعَ يَديْه في الدُّعاءِ ، فَقال عِمارةُ: قَبَّح اللهُ هاتَينِ اليَديْنِ القَصيرَتينِ! لَقد رَأيتُ رَسولَ اللهِ صلَّى اللهُ عليهِ وسلَّم، وَما يَزيدُ على أنْ يَقولَ هَكذا؛ وأَشارَ هُشَيمٌ بِالسَّبَّابةِ.","عمارة بن رويبة","صحيح الترمذي","صحيح"
"قسَم رسولُ اللهِ صلَّى اللهُ عليه وسلَّم بينَنا تمرًا فأصابني منها خمسٌ أو أربعُ تمراتٍ قال: فرأَيْتُ الحشَفةَ هي أشدَّ لضِرْسي قال: فقال أبو هُريرةَ: إنَّ أبخلَ النَّاسِ مَن بخِل بالسَّلامِ وأعجَزَ النَّاسِ مَن عجَز عن الدُّعاءِ.","أبو هريرة","صحيح ابن حبان","أخرجه في صحيحه"
"سمِع ابنَه يقولُ اللَّهمَّ إنِّي أسألُك القصرَ الأبيضَ عن يمينِ الجنَّةِ إذا دخلتُها فقال أيْ بنيَّ سلِ اللهَ الجنَّةَ وعُذْ به من النَّارِ فإنِّي سمِعتُ رسولَ اللهِ صلَّى اللهُ عليه وسلَّم يقولُ سيكونُ قومٌ يعتدون في الدُّعاءِ.","عبدالله بن مغفل","صحيح ابن ماجه","صحيح"
"أنَّه قال في هذه الآيةِ {إِنَّ اللَّهَ يَأْمُرُكُمْ أَنْ تُؤَدُّوا الْأَمَانَاتِ إِلَى أَهْلِهَا} [النساء: 58] - إلى قوله - {إِنَّ اللَّهَ كَانَ سَمِيعًا بَصِيرًا} [النساء: 58] رأَيْتُ النَّبيَّ صلَّى اللهُ عليه وسلَّم يضَعُ إبهامَه على أُذنِه وأُصبُعَه الدَّعَّاءَ على عينِه.","أبو هريرة","صحيح ابن حبان","أخرجه في صحيحه"
"إذا قعدتم في كلِّ ركعتَيْن ، فقولوا : التَّحيَّاتُ للهِ ، والصَّلواتُ ، والطَّيِّباتُ ، السَّلامُ عليك أيُّها النَّبيُّ ، ورحمةُ اللهِ وبركاتُه ، السَّلامُ علينا ، وعلى عبادِ اللهِ الصَّالحين ، أشهدُ أن لا إلهَ إلَّا اللهُ ، وأنَّ محمَّدًا عبدُه ورسولُه ، ثمَّ ليتخيَّرْ من الدُّعاءِ أعجبَه إليه.","عبدالله بن مسعود","السلسلة الصحيحة","إسناده صحيح على شرط مسلم"
"أنَّ أبا بَكرٍ رضِيَ اللهُ عنه دخَلَ على النَّبيِّ صلَّى اللهُ عليه وسلَّمَ لِيُكلِّمَه، وعائشةُ تُصلِّي، فقال رسولُ اللهِ صلَّى اللهُ عليه وسلَّمَ: يا عائشةُ قولي: اللَّهُمَّ إنِّي أسأَلُكَ مِنَ الخَيرِ كلِّه.. ثُم ذكَرَ بَقيَّةَ الحديثِ الدُّعاءَ الذي فيه.","عائشة أم المؤمنين","تخريج مشكل الآثار","إسناده صحيح"
"كانَ رسولُ اللَّهِ صلَّى اللَّهُ عليهِ وسلَّمَ إذا أرادَ أن يَنصرِفَ من صلاتِهِ استغفرَ ثلاثَ مرَّاتٍ، ثمَّ قالَ: اللَّهمَّ أنتَ السَّلامُ، ومنكَ السَّلامُ، تبارَكْتَ يا ذا الجلالِ والإِكْرامِ...وروَى عمرُو بنُ هاشمٍ البَيروتيُّ، عنِ الأوزاعيِّ، فقالَ: ذَكَرَ هذا الدُّعاءَ قبلَ السَّلامِ.","ثوبان، مولى رسول الله صلى الله عليه وسلم","صحيح ابن خزيمة","أخرجه في صحيحه"
"قالت عائشةُ: قُصَّ في الجُمعةِ مرَّةً فإنْ أبَيْتَ فمرَّتَيْنِ فإنْ أبَيْتَ فثلاثَ ولا أُلفِيَنَّكَ تأتي القومَ وهم في حديثِهم فتقطَعَه عليهم ولكِنْ إنِ استمَعوا حديثَكَ فحدِّثْهم واجتنِبِ السَّجعَ في الدُّعاءَ فإنِّي عهِدْتُ النَّبيَّ صلَّى اللهُ عليه وسلَّم وأصحابَه يكرَهونَ ذلكَ.","ابن أبي السائب","صحيح ابن حبان","أخرجه في صحيحه"
"عنِ استسقاءِ رسولِ اللهِ صلَّى اللهُ عليهِ وسلَّمَ قال : إنَّ رسولَ اللهِ صلَّى اللهُ عليهِ وسلَّمَ خرج مُتبذِّلًا متواضعًا مُتضرِّعًا حتى أتى المُصلَّى فلم يخطبْ خطبتَكم هذه ، ولكن لم يزلْ في الدُّعاءِ ، والتَّضرعِ ، والتَّكبيِر ، وصلَّى ركعتَينِ كما كان يُصلِّي في العيدِ.","عبدالله بن عباس","الإلمام بأحاديث الأحكام","[اشترط في المقدمة أنه] صحيح على طريقة بعض أهل الحديث"
"كانَ لداودَ نبيِّ اللَّهِ صلَّى اللَّهُ عليهِ وسلَّمَ منَ اللَّيلِ ] ساعةٌ يوقظُ فيها أهلَهُ يقولُ يا آلَ داودَ قوموا فصلُّوا فإنَّ هذهِ ساعةٌ يستجيبُ اللَّهُ فيها الدُّعاءَ إلَّا لساحرٍ أو عاشرٍ فركبَ كلابُ بنُ أميَّةَ سفينةً فأتى زيادًا فاستعفاهُ فأعفاهُ.","عثمان بن أبي العاص الثقفي","مجمع الزوائد","رجال أحمد رجال الصحيح إلا أن فيه علي بن زيد وفيه كلام وقد وثق‏‏"
